Ship_critical		{Coup critique}
Ship_got_good_1		{Vous avez}
Ship_got_good_2		{quintal de}
Ship_cant_got_good_1	{Impossible de charger}
Ship_cant_got_good_2	{- cale pleine!}

Fort_destroy		{est détruit.}
Fort_cannon		{canon explosé !}

seg_Balls		{Boulets de canon}
seg_Grapes		{Mitraille}
seg_Knippels	{Boulets ramés}
seg_Bombs		{Bombes}
seg_Sailcloth	{Toile à voile}
seg_Planks		{Planches}
seg_Slaves		{Esclaves}
seg_Wheat		{Blé}
seg_Ebony		{Bois d'Ébène}
seg_Chocolate	{Chocolat}
seg_Sugar		{Sucre}
seg_Wine		{Vin}
seg_Linen		{Lin}
seg_Rum			{Rhum}
seg_Tobacco		{Tabac}
seg_Coffee		{Café}
seg_Mahogany	{Bois d'Acajou}
seg_Cinnamon	{Cannelle}
seg_Copra		{Coprah}
seg_Paprika		{Paprika}
seg_Fruits		{Fruits}
seg_Ale			{Bière}
seg_Silk		{Soie}
seg_Clothes		{Vêtements}
seg_Cotton		{Coton}
seg_Sandal		{Bois de Santal}
seg_Leather		{Cuir}
seg_Oil			{Huile}
seg_Gold		{Lingots d'or}    // from SLiB -->
seg_Silver		{Lingots d'argent}  //  by
seg_Bricks		{Briques}  // Jack Davidson <--
seg_Food		{Vivres}
seg_Weapon		{Armes}
seg_Gunpowder	{Poudre à cannon}
seg_Ration		{Nourriture}
seg_Medicines	{Medicaments}
